cluster	rank	names	scores	logfoldchanges	pvals	pvals_adj
8	23	APBB1IP	40.300983	2.8483284	0.0	0.0
8	24	PTP4A2	39.006775	2.9015887	0.0	0.0
8	25	CD3G	38.73319	2.6752882	0.0	0.0
8	26	AL365440.2	38.516026	3.8157902	0.0	0.0
8	27	SATB1	38.21969	2.8409266	0.0	0.0
8	28	SEPTIN6	37.79921	2.449523	0.0	0.0
8	29	BTG2	37.62589	2.6958025	8.11295299521544e-310	9.898073085929345e-307
8	30	RAG2	37.595383	3.7514567	2.55748602442345e-309	3.0195659993523457e-306
8	31	LCK	37.39365	2.5129168	4.9552587713617965e-306	5.66773207158166e-303
8	32	TFDP2	37.34263	2.8046434	3.3395503540387543e-305	3.703966136611286e-302
8	33	TRBC2	37.258636	2.7747374	7.67911581271235e-304	8.266568172384846e-301
8	34	SH2D1A	37.20398	2.888712	5.884487788662792e-303	6.153661072938482e-300
8	35	PTCRA	36.10846	3.3068101	1.670694466527083e-285	1.69858578248216e-282
8	36	SH3TC1	36.013634	3.3006282	5.1184231359801636e-284	4.929984347368683e-281
8	37	H3F3A	35.9933	1.8048984	1.0647999232177336e-283	9.99301076658776e-281
8	38	SOX4	35.348835	2.4707935	1.0447136156013078e-273	9.559390761155869e-271
8	39	LEF1	35.22887	2.4547715	7.228949328146862e-272	6.453335959987886e-269
8	40	SIT1	34.359722	2.8258016	1.0082578275798809e-258	8.786486844583624e-256
8	41	PCBP1	34.2566	1.9308947	3.478328376400059e-257	2.960704579177176e-254
8	42	GMFG	33.622887	2.163397	7.76781115222729e-248	6.4615830905152514e-245
8	43	BCL2L1	33.428288	3.117244	5.322978126181839e-245	4.329473831030699e-242
8	44	ADA	33.182804	2.7667413	1.9060949663315873e-241	1.4843613162277112e-238
8	45	SRSF5	33.041527	2.0316796	2.05875320401673e-239	1.569842208754507e-236
8	46	ITM2C	31.979984	2.3577018	2.0698656898302904e-224	1.5151830822695691e-221
8	47	TRBC1	31.841074	2.82685	1.7495456899326743e-222	1.2555906234750159e-219
8	48	RGS10	31.814938	2.1087668	4.023072576154199e-222	2.8317015261503817e-219
8	49	NUCB2	30.933178	2.2164736	4.2779553836802046e-210	2.9542914150580976e-207
8	50	PSAP	30.66662	1.9748393	1.5868091003850203e-206	1.0755333311702245e-203
8	51	HDAC7	30.403717	2.53051	4.905483841698438e-203	3.2644657107273555e-200
8	52	FBLN5	29.980812	3.2753844	1.7458747762817567e-197	1.1410850479765817e-194
8	53	UCP2	29.878933	2.0770664	3.6961207135310947e-196	2.3733634076482737e-193
8	54	RCSD1	29.825563	2.4368196	1.8215812091831623e-195	1.149511962712292e-192
8	55	SEPTIN9	29.58201	2.0001843	2.546126480934012e-192	1.5795046665875556e-189
8	56	LAT	29.57505	2.1433601	3.1288479730586625e-192	1.9086494110320016e-189
8	57	H3F3B	29.567749	1.5813965	3.883867964974293e-192	2.3303844489512148e-189
8	58	AL138899.1	29.42679	3.5103352	2.4951564286374305e-190	1.4729874265251386e-187
8	59	PCBP2	29.343521	1.5319875	2.8905659758727355e-189	1.6793270679828253e-186
8	60	PNISR	29.143013	1.9304693	1.0243545208205552e-186	5.768061510238945e-184
8	61	XBP1	29.049482	2.6956735	1.5621703941012854e-185	8.663181605227447e-183
8	62	PTPRC	28.863724	1.9885006	3.4082652031977796e-183	1.8618793239140587e-180
8	63	CCND3	28.620445	2.0345113	3.7406540206092037e-180	2.013407026592904e-177
8	64	SSBP2	28.415838	2.3206909	1.2887613745208725e-177	6.738565009834065e-175
8	65	MIR181A1HG	28.025246	2.6979713	8.003306407674097e-173	4.125760814468727e-170
8	66	CD247	28.023895	2.1032784	8.312315566452084e-173	4.2255425284404545e-170
8	67	RORC	27.777832	3.3897555	8.03801905414938e-170	4.03013062193043e-167
8	68	MAL	27.426481	2.2922864	1.3257396331278328e-165	6.469786174948242e-163
8	69	ARHGDIB	27.359787	1.7971498	8.259655860877645e-165	3.9777850547892457e-162
8	70	RAC2	27.358263	1.8463945	8.611713933510137e-165	4.093471969875383e-162
8	71	ZFP36L2	27.190855	1.9013605	8.331439938461302e-163	3.9094747844566935e-160
8	72	BTG1	27.161577	1.7644062	1.8481658124171875e-162	8.562622392440693e-160
8	73	CAMK4	26.9343	2.0210068	8.712878800214282e-160	3.986250962083037e-157
8	74	NFATC3	26.83695	2.6783383	1.1978434069025886e-158	5.412625498276747e-156
