cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
8	23	AC104389.1	16.178125	4.4634476	1.1778818535845955e-56	0.09477124183006536
8	24	PRDX2	16.034126	2.3502793	1.165201953713666e-55	0.2875816993464052
8	25	SELENBP1	14.932125	2.8711898	2.7142402193358053e-48	0.0
8	26	GLRX5	14.785594	2.6143157	2.406024971622485e-47	0.058823529411764705
8	27	FAM210B	14.703188	2.609088	7.955371939328262e-47	0.0
8	28	STRADB	13.924048	4.1583343	5.106844721950764e-42	0.00980392156862745
8	29	SLC2A1	13.853184	5.015309	1.3336384466848884e-41	0.0
8	30	BPGM	13.550881	3.8928719	7.985018422813894e-40	0.0032679738562091504
8	31	KLF1	13.475072	8.478784	2.2280025770556382e-39	0.0032679738562091504
8	32	HBZ	12.954911	6.0028877	1.9948004707866647e-36	0.0
8	33	UROD	12.849192	2.5398977	7.708829906033702e-36	0.0
8	34	MPP1	12.487137	3.0382414	7.295525025170849e-34	0.10784313725490197
8	35	FBXO7	12.254984	2.0543914	1.2543860922402733e-32	0.12745098039215685
8	36	UCP2	11.7153425	2.8441658	7.66491453813448e-30	0.00980392156862745
8	37	TFRC	11.64635	3.745677	1.7166341851304147e-29	0.006535947712418301
8	38	HAGH	11.554594	1.9020584	4.9356406240457826e-29	0.0
8	39	BSG	11.201382	1.191981	2.674811459226035e-27	0.10457516339869281
8	40	SMIM1	11.033707	4.0177546	1.663390138904218e-26	0.0032679738562091504
8	41	TRIM58	10.678192	5.256024	7.488058980949834e-25	0.006535947712418301
8	42	DMTN	10.428365	4.047168	1.014639773020591e-23	0.049019607843137254
8	43	RHAG	10.184088	8.702303	1.24367549651682e-22	0.02287581699346405
8	44	TMEM56	10.147438	4.459558	1.8006938372151978e-22	0.0915032679738562
8	45	DCAF12	10.109908	3.123073	2.6221341075847345e-22	0.0196078431372549
8	46	EPB41	10.083962	2.799552	3.3891802256388763e-22	0.0
8	47	GMPR	10.063061	3.532726	4.167430194696936e-22	0.00980392156862745
8	48	NFE2	10.0349245	6.077206	5.501442432268303e-22	0.016339869281045753
8	49	BNIP3L	9.637034	1.5505514	2.704168794416304e-20	0.2875816993464052
8	50	PIM1	9.349192	2.7694676	4.017575343904225e-19	0.0915032679738562
9	1	TAGLN	27.267885	6.410752	2.704849562108798e-159	0.0
9	2	C11orf96	26.799448	5.9073653	4.34848723057042e-154	0.0
9	3	MYL9	26.210848	4.3883185	1.7671713864104417e-147	0.0
9	4	ADIRF	25.485811	4.0770593	1.87756425053831e-139	0.11486486486486487
9	5	TIMP3	25.05936	3.368842	7.321463373393563e-135	0.04391891891891892
9	6	TPM2	24.872253	4.700148	6.566942125491321e-133	0.0
9	7	TPM1	24.403223	3.5600893	5.988204382242792e-128	0.0
9	8	CSRP2	23.110434	3.353723	1.2055115103676627e-114	0.0
9	9	DSTN	22.976595	3.0217714	2.3547798059057582e-113	0.0
9	10	MFGE8	22.878487	3.4223557	2.0180520898985835e-112	0.02702702702702703
9	11	FKBP5	22.603579	3.8838995	9.634731217251454e-110	0.0
9	12	HSPA1A	22.363453	3.7013252	1.9741724814002695e-107	0.006756756756756757
9	13	IGFBP5	22.343142	3.8782797	2.8720519059784787e-107	0.0033783783783783786
9	14	IGKC	22.306526	3.7605026	6.04957521009213e-107	0.0
9	15	PPP1R14A	22.25929	4.020077	1.621032193446141e-106	0.0
9	16	CALD1	22.240938	2.4424734	2.288031814960151e-106	0.0
9	17	TINAGL1	22.185913	3.4168732	7.32876027410356e-106	0.006756756756756757
9	18	SPARCL1	22.172731	2.7134721	9.277745399650159e-106	0.14864864864864866
9	19	ACTA2	22.020058	4.5179944	2.582565392799631e-104	0.010135135135135136
9	20	MT2A	21.800241	3.30578	3.0603192434030586e-102	0.0
9	21	LMOD1	21.794031	5.59484	3.338059679215273e-102	0.0
